Word,Meaning
כינור,violin
להקה,band
זמר,singer
שיר,song
גיטרה,guitar
לנגן,to play (an instrument)
מוזיקה,music
חליל,flute
כלי-נגינה,(musical) instrument
תוף,drum
פסנתר,piano
סינתיסייזר,synthesizer
נבל,harp
ז'אנר,musical genre
הופעה,show
קונצרט,concert
נגן,(music) player
מלחין,composer
יצירה,"creation, musical piece"
פזמון,chorus
בית,"stanza, verse"
להלחין,to compose
גיטריסט,guitarist
אקורד,chord
מתופף,drummer
כנר,violinist
חצוצרה,"trumpet, horn"
מיקרופון,microphone
רמקול,speaker (music)
הד,"echo, reverb"
מנגינה,tune
מפוחית,harmonica
לכוון,to tune (an instrument)
מנצח,conductor
סולם,scale (music)
ים-תיכוני,Mediterranean
צליל,"tone, sound"
